Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-19946.988367233487224439,11684.423263957098242827,43511.217134673759574071
78.447050070740360184,-20009.805456349466112442,11546.054706013081158744,43526.463841973716625944
310.359687764160355528,-20193.108161201704206178,11135.623376850433487562,43566.319616638727893587
685.602217972753237518,-20482.029705924203881295,10467.342616177780655562,43614.290768509548797738
1187.774741512969512769,-20853.655957574650528841,9565.396564100728937774,43646.538730310872779228
1794.929909414981921145,-21279.593758967108442448,8464.252335435381610296,43636.653565522807184607
2480.532127387735727098,-21729.125576566962990910,7208.412053110678243684,43561.078234319553303067
3214.617288621371699264,-22172.548105204019520897,5851.251797261389583582,43404.224419716512784362
3965.102349038557349559,-22584.243297323948354460,4452.809610516742395703,43162.383007778895262163
4699.187510272194231220,-22945.038412913116189884,3076.650257697319375438,42845.731358245786395855
5384.789728244946672930,-23243.487878360192553373,1786.168083460338948498,42478.037109971010067966
5991.944896146958853933,-23475.857984311373002129,640.825501624185790206,42094.015943802696710918
6494.117419687176152365,-23644.809007308467698749,-307.174455535568085907,41734.680214707892446313
6869.359949895769204886,-23757.023612243658135412,-1015.420247700521485967,41441.371120658062864095
7101.272587589189242863,-23820.276386793539131759,-1452.902275115189013377,41249.440144945619977079
7179.719637659929503570,-23840.606825666523945983,-1600.824754283802576538,41182.669215160625753924
7179.719637659929503570,-23840.606825666523945983,-1600.824754283802576538,41182.669215160625753924
7258.166687730669764278,-23860.395455730253161164,-1748.710851118056098130,41114.962356683929101564
7490.079325424089802254,-23915.709222060435422463,-2185.659429875449404790,40909.317659315252967644
7865.321855632682854775,-23995.013198068892961601,-2891.686932738781251828,40559.164053458523994777
8367.494379172898334218,-24081.080834519572817953,-3834.050859498078807519,40056.703279877277964260
8974.649547074910515221,-24153.739762086512200767,-4968.333242273109135567,39397.027958821112406440
9660.251765047665685415,-24193.228426453177235089,-6240.320268387261421594,38582.769835942031932063
10394.336926281301202835,-24183.713978864358068677,-7588.816367376048219739,37628.384450195080717094
11144.821986698487307876,-24116.450115237643331056,-8949.337116927377792308,36563.186059457111696247
11878.907147932124644285,-23992.030624596438428853,-10258.371056940326525364,35432.382746702714939602
12564.509365904876176501,-23821.241183974307205062,-11457.653537592594148009,34295.616310145844181534
13171.664533806888357503,-23624.155044474624446593,-12497.741421469803754007,33222.872704709458048455
13673.837057347105655936,-23427.380182052922464209,-13340.208666112357605016,32288.071794642484746873
14049.079587555697798962,-23259.741241275485663209,-13958.067724490163527662,31561.113726311396021629
14280.992225249119655928,-23147.107006707898108289,-14334.542627476628695149,31099.555331269039015751
14359.439275319859007141,-23107.422157485325442394,-14460.914573210717207985,30941.293762694302131422
14359.439275319859007141,-23107.422157485325442394,-14460.914573210717207985,30941.293762694302131422
14437.886325390600177343,-23066.928949700261000544,-14586.780631772267952329,30781.949790413014852675
14669.798963084020215319,-22942.449596728907636134,-14955.841186596928309882,30304.531608219393092440
15045.041493292612358346,-22725.699243902668968076,-15542.930747215958035667,29511.836696225436753593
15547.214016832827837788,-22405.181317212023714092,-16307.664937218150953413,28411.545149093817599351
16154.369184734840018791,-21969.411624987682444043,-17196.983782426170364488,27020.171398997925280128
16839.971402707593369996,-21410.945933219703874784,-18149.028354160767776193,25367.514401031836314360
17574.056563941230706405,-20730.721763414454471786,-19098.454713395578437485,23500.666035583923076047
18324.541624358414992457,-19942.077346976620901842,-19983.040112222031893907,21486.548347083149565151
19058.626785592052328866,-19073.666450360964518040,-20751.014272129159508040,19411.987857796862954274
19744.229003564803861082,-18170.389939467666408746,-21367.974458649507141672,17380.560734885912097525
