Time (s), Error (km)
626433,5.09478e-310
627533,0
628927,0
630601,2.47033e-323
632539,13.8851
634720,0
637122,4.74797e-321
639720,5.09478e-310
642488,5.09478e-310
645397,5.09478e-310
648417,5.09478e-310
651518,9.88131e-324
654667,0
657833,3.16202e-322
660982,3.16202e-322
664083,5.09544e-310
667103,5.09478e-310
670012,0
672780,0
675378,1.4822e-323
677780,0
679961,0
681899,4.11557e-321
683573,5.09478e-310
684967,6.89132e-310
686067,0
686860,0
687340,4.94066e-324
687500,-6.91019
687500,0
687660,3.79936e-321
688140,5.09478e-310
688933,5.09478e-310
690033,0
691427,0
693101,4.94066e-324
695039,-6.91197
697220,3.16202e-322
699622,3.16202e-322
702220,5.09544e-310
704988,5.09478e-310
707897,5.09478e-310
710917,5.09478e-310
714018,9.88131e-324
717167,0
720333,6.32404e-322
723482,3.16202e-322
726583,5.09544e-310
729603,5.09478e-310
732512,0
735280,0
737878,1.4822e-323
740280,0
742461,9.48606e-322
744399,3.16202e-322
746073,5.09544e-310
747467,6.9526e-310
748567,5.09478e-310
749360,5.09478e-310
749840,1.97626e-323
750000,-84.1664
750000,1.26481e-321
750160,3.16202e-322
750640,5.09544e-310
751433,5.09478e-310
752533,0
753927,0
755601,2.47033e-323
757539,13.8883
759720,1.58101e-321
762122,3.16202e-322
764720,5.09544e-310
767488,5.09478e-310
770397,5.09478e-310
773417,5.09478e-310
776518,2.96439e-323
779667,-4.70346
782833,1.89721e-321
785982,3.16202e-322
789083,5.09544e-310
792103,5.09478e-310
795012,0
797780,0
800378,3.45846e-323
802780,82.8952
804961,2.21341e-321
806899,3.16202e-322
808573,5.09544e-310
809967,5.09478e-310
811067,5.09478e-310
811860,5.09478e-310
812340,3.95253e-323
812500,-0.0102035
812500,2.52962e-321
812660,3.16202e-322
813140,5.09544e-310
813933,5.09478e-310
815033,0
816427,0
818101,4.44659e-323
820039,0.014279
822220,2.84582e-321
824622,3.16202e-322
827220,5.09544e-310
829988,5.09478e-310
832897,5.09478e-310
835917,5.09478e-310
839018,4.94066e-323
842167,-0.00581499
845333,3.16202e-321
848482,3.16202e-322
851583,5.09544e-310
854603,5.09478e-310
857512,0
860280,5.09478e-310
862878,5.43472e-323
865280,0
867461,3.47822e-321
869399,3.16202e-322
871073,5.09544e-310
872467,5.09478e-310
873567,0
874360,0
874840,5.92879e-323
875000,0
875000,1.61263e-320
875160,3.16202e-322
875640,5.09544e-310
876433,6.9526e-310
877533,5.09478e-310
878927,5.09478e-310
880601,1.97626e-323
882539,-84.1664
884720,1.64425e-320
887122,3.16202e-322
889720,5.09544e-310
892488,5.09478e-310
895397,5.09478e-310
898417,5.09478e-310
901518,3.95253e-323
904667,-0.0102035
907833,1.67587e-320
910982,3.16202e-322
914083,5.09544e-310
917103,5.09478e-310
920012,5.09478e-310
922780,5.09478e-310
925378,4.94066e-323
927780,-0.00581499
929961,1.70749e-320
931899,3.16202e-322
933573,5.09544e-310
934967,5.09478e-310
936067,0
936860,5.09478e-310
937340,5.43472e-323
937500,0
937500,1.73911e-320
937660,3.16202e-322
938140,5.09544e-310
938933,5.09478e-310
940033,0
941427,0
943101,5.92879e-323
945039,0
947220,0
949622,6.32898e-321
952220,5.09478e-310
954988,6.89132e-310
957897,0
960917,0
964018,4.44659e-323
967167,0.014279
970333,0
973482,6.01278e-321
976583,5.09478e-310
979603,5.09478e-310
982512,0
985280,0
987878,2.96439e-323
990280,-4.70346
992461,3.16202e-322
994399,3.16202e-322
996073,5.09544e-310
997467,5.09478e-310
998567,0
999360,0
999840,3.45846e-323
1e+06,82.8952
