Time (s), Error (km)
0,1.85e-05
9.23522,6.16e-05
36.8461,5.34e-05
82.5493,5.37e-05
145.876,5.3e-05
226.176,5.38e-05
322.626,5.36e-05
434.235,5.25e-05
559.86,5.3e-05
698.209,5.6e-05
847.865,5.29e-05
1007.29,5.29e-05
1174.85,5.31e-05
1348.83,5.41e-05
1527.43,5.62e-05
1708.83,5.32e-05
1891.17,5.29e-05
2072.57,5.37e-05
2251.17,5.63e-05
2425.15,6.98e-05
2592.71,5.35e-05
2752.14,5.3e-05
2901.79,5.25e-05
3040.14,5.24e-05
3165.76,5.43e-05
3277.37,5.28e-05
3373.82,5.23e-05
3454.12,5.27e-05
3517.45,5.24e-05
3563.15,5.42e-05
3590.76,5.23e-05
3600,5.28e-05
