Time (s), X (km), Y (km), Z (km)
0.0000000000000,-19946.9883672334872,11684.4232639570982,43511.2171346737596
78.4473818157293,-20009.8057211303567,11546.0541203633147,43526.4639045638833
310.3610002452682,-20193.1091883816334,11135.6210483538798,43566.3198201318955
685.6051173182356,-20482.0319014235574,10467.3374333066786,43614.2910602860065
1187.7797644974937,-20853.6595878564731,9565.3875010141455,43646.5388699084215
1794.9374999999995,-21279.5989218972027,8464.2385013344829,43636.6531072524522
2480.5426173182354,-21729.1321954284722,7208.3927467845160,43561.0765545687973
3214.6308829270329,-22172.5559475193659,5851.2265587406146,43404.2207862533687
3965.1191170729671,-22584.2520166665672,4452.7782602693042,43162.3766811815003
4699.2073826817641,-22945.0476081823981,3076.6129152039025,42845.7217099780028
5384.8124999999991,-23243.4971615378781,1786.1251608779980,42478.0237381856059
5991.9702355025047,-23475.8670451688449,640.7776735235277,42093.9987671004783
6494.1448826817641,-23644.8176626900640,-307.2263001963059,41734.6595261832117
6869.3889997547321,-23757.0318291970616,-1015.4750618256471,41441.3475898278921
7101.3026181842706,-23820.2842733506732,-1452.9589082463292,41249.4147633122702
7179.7500000000000,-23840.6145900194351,-1600.8819996222344,41182.6431910930041
7179.7500000000000,-23840.6145900194351,-1600.8819996222344,41182.6431910930041
7258.1973818157294,-23860.4030925500338,-1748.7687070167865,41114.9356818729284
7490.1110002452679,-23915.7164503973836,-2185.7190806389826,40909.2890119494696
7865.3551173182359,-23995.0196642109622,-2891.7494527275403,40559.1320590740361
8367.5297644974944,-24081.0860793417087,-3834.1171424321874,40056.6665025817929
8974.6875000000000,-24153.7432106560082,-4968.4039372875732,39396.9849273093278
9660.2926173182350,-24193.2294057082254,-6240.3957300519569,38582.7191096075185
10394.3808829270329,-24183.7117660252115,-7588.8966290062635,37628.3247235733361
11144.8691170729671,-24116.4440154367403,-8949.4218965412601,36563.1162958093701
11878.9573826817650,-23992.0200710178797,-10258.4598020785470,35432.3023245157819
12564.5625000000000,-23821.2258478447657,-11457.7455083041932,34295.5251605750746
13171.7202355025038,-23624.1349364387170,-12497.8358005344253,33222.7714148009400
13673.8948826817650,-23427.3557225944787,-13340.3046743208433,32287.9616521219868
14049.1389997547321,-23259.7132784364767,-13958.1647111603088,31560.9966880901266
14281.0526181842706,-23147.0767666127067,-14334.6401081182939,31099.4339094813222
14359.5000000000000,-23107.3911272208898,-14461.0122008147846,30941.1708368731488
14359.5000000000000,-23107.3911272208898,-14461.0122008147846,30941.1708368731488
14437.9473818157294,-23066.8971190816992,-14586.8783958700569,30781.8253497673686
14669.8610002452679,-22942.4153396005640,-14955.9392912145013,30304.4026258978083
15045.1051173182350,-22725.6608643391410,-15543.0291930425556,29511.7001629632578
15547.2797644974944,-22405.1370247919440,-16307.7633992191058,28411.3981144336867
16154.4375000000000,-21969.3595422516591,-17197.0815117585043,27020.0110527128709
16840.0426173182350,-21410.8841468624596,-18149.1241225428166,25367.3382026227700
17574.1308829270347,-20730.6484284224171,-19098.5468246342352,23500.4718910185693
18324.6191170729653,-19941.9908479600163,-19983.1265102542529,21486.3348199049833
19058.7073826817650,-19073.5656148677481,-20751.0927727021299,19411.7543864983854
19744.3125000000000,-18170.2742826001922,-21368.0431148896314,17380.3078127327353
20351.4702355025038,-17291.3814429392223,-21821.7049714337518,15505.6685317218053
20853.6448826817650,-16505.3159930001639,-22122.5160460383340,13901.9796560617870
21228.8889997547303,-15881.3812162243194,-22298.5117508527801,12672.7012106719449
21460.8026181842724,-15479.6030847031834,-22384.7130615713722,11899.9778244531153
21539.2500000000000,-15340.8441100071359,-22409.7724517051502,11636.3837783686049
21539.2500000000000,-15340.8441100071359,-22409.7724517051502,11636.3837783686049
21617.6973818157276,-15200.6261061300156,-22432.7004466089493,11371.6830653617108
21849.6110002452697,-14777.4693372748061,-22487.6578642174609,10582.7533375660350
22224.8551173182350,-14064.9153339459735,-22533.8740078952105,9286.4813652626417
22727.0297644974926,-13055.7087828053482,-22505.9826637977058,7515.4396136685873
23334.1875000000000,-11747.0848162681323,-22318.7118491741094,5324.0059968364749
24019.7926173182350,-10148.1552491388265,-21875.1922353362424,2795.6915849787451
24753.8808829270347,-8289.0949579056160,-21080.7929282128280,49.8191959215624
25504.3691170729653,-6230.9634530206658,-19864.6492761687514,-2756.0187941547160
26238.4573826817650,-4072.9857337948761,-18209.5168045962782,-5433.7986412147020
26924.0625000000000,-1951.0636783593563,-16184.6412620838619,-7790.5581947855298
27531.2202355025038,-20.2329663404778,-13965.1898576253843,-9673.0291036170347
28033.3948826817650,1578.6276868350972,-11815.0784855182264,-11014.7590218935056
28408.6389997547303,2751.0656778255179,-10027.0195693869064,-11851.6801448584083
28640.5526181842724,3457.1683924029576,-8849.4093687024579,-12285.6743881036982
28719.0000000000000,3691.7756038590910,-8439.3845089248680,-12416.8320301323256
28719.0000000000000,3691.7756038590910,-8439.3845089248680,-12416.8320301323256
28797.4473818157276,3923.9322887736739,-8023.7591274678243,-12539.7485823933876
29029.3610002452697,4594.1180835932009,-6764.3758215993184,-12853.1720873699578
29404.6051173182350,5617.5033282243512,-4643.0134221849639,-13193.9385390505922
29906.7797644974926,6840.5179537685899,-1691.7958561314495,-13311.9327123867279
30513.9375000000000,8050.1253482238753,1934.7319129873595,-12936.6497885449935
31199.5426173182350,9027.0522567493590,5932.1637459181475,-11890.7074965854645
31933.6308829270347,9625.4514282951532,9919.0401910923101,-10180.5578274554555
32684.1191170729653,9816.7329570453385,13566.0107850779223,-7984.4515469707039
33418.2073826817650,9668.9248062363549,16675.8144961048238,-5560.2174568944583
34103.8125000000000,9296.3915219997307,19180.5933961338815,-3157.9260066123047
34710.9702355025074,8819.0590067494031,21098.2026522346023,-977.9243080579895
35213.1448826817650,8341.1886258171107,22487.8690685884867,835.9934915631593
35588.3889997547303,7943.7449397223318,23418.7860920994681,2188.2931276776812
35820.3026181842724,7683.2413780022753,23950.8285073476836,3020.3405153415420
35898.7500000000000,7592.7811251157909,24123.5888239043816,3300.9329562496496
35898.7500000000000,7592.7811251157909,24123.5888239043816,3300.9329562496496
35977.1973818157276,7501.1981734358569,24292.7823587022140,3581.0374665748818
36209.1110002452697,7224.2248723508383,24772.5532030558752,4405.9633941558759
36584.3551173182350,6758.1256693670975,25486.6187138529531,5729.3045139232509
37086.5297644974926,6104.6196774354557,26329.0406934166713,7474.3602531885444
37693.6875000000000,5277.7553813287532,27188.0845246681711,9538.5267060549741
38379.2926173182350,4307.2117821859665,27967.6235084945256,11802.3208683092216
39113.3808829270347,3237.0325341681942,28600.9742568711008,14141.2450911617580
39863.8691170729653,2121.0272618969007,29055.8122437544953,16437.3630051335094
40597.9573826817650,1016.8938956064137,29331.7435698795452,18588.0389146144225
41283.5625000000000,-19.2394141468608,29453.2842755906167,20510.7400374101962
41890.7202355025074,-936.9361119080652,29460.8269430017972,22144.0687858709643
42392.8948826817650,-1694.0081548210076,29401.4515235121326,23445.9104658221004
42768.1389997547303,-2257.7121324329892,29320.7073310250453,24389.8419624534690
43000.0526181842724,-2604.9953790678942,29255.9592178474013,24960.9424749866994
43078.5000000000000,-2722.2524024509007,29231.5627592737801,25152.0070731563792
43078.5000000000000,-2722.2524024509007,29231.5627592737801,25152.0070731563792
43156.9473818157276,-2839.3938552369004,29205.9252230783641,25342.0038116386168
43388.8610002452697,-3184.9851553396056,29122.9894881930413,25897.4581862070627
43764.1051173182350,-3741.7049667287069,28966.8022139360583,26776.5492966941565
44266.2797644974926,-4481.4006197077915,28717.0881545537595,27915.2356945238607
44873.4375000000000,-5366.4811716125614,28356.4812140434078,29234.7540077666636
45559.0426173182350,-6352.1973868234199,27877.2006158785480,30650.3052799670404
46293.1308829270347,-7389.6828071034706,27285.4899957073867,32079.5362907381823
47043.6191170729653,-8429.3607318576578,26603.0449039388805,33449.5763094252034
47777.7073826817650,-9424.1972722323444,25865.5290800612565,34701.7768149853146
48463.3125000000000,-10332.3297514199530,25118.8585173100691,35793.7911341136132
49070.4702355025074,-11118.7719248147059,24414.1687612500136,36699.1008199012649
49572.6448826817650,-11756.1200325614445,23802.3578753541588,37404.4744019535938
49947.8889997547303,-12224.3962775350574,23328.9296546633886,37906.1045831571319
50179.8026181842724,-12510.3273729959565,23029.6439976482761,38205.3043491838544
50258.2500000000000,-12606.4379533350584,22927.2775795474045,38304.6465341420990
50258.2500000000000,-12606.4379533350584,22927.2775795474045,38304.6465341420990
50336.6973818157276,-12702.2387387815361,22824.3477345480678,38403.0474047837488
50568.6110002452697,-12983.6307861643872,22516.8059082662185,38688.4545689154183
50943.8551173182350,-13433.0969030656888,22009.1443818779917,39132.9139289776140
51446.0297644974926,-14023.1171370719567,21311.0625148394356,39694.3455814068511
52053.1875000000000,-14718.5407001705098,20439.9051184930249,40322.4470596109823
52738.7926173182350,-15479.5972515725480,19422.6752418958677,40965.4349836619876
53472.8808829270347,-16265.2118998927854,18296.8705239218216,41576.5076541800518
54223.3691170729653,-17036.2162027531958,17109.7521953785617,42119.0334772203350
54957.4573826817650,-17758.0419818535993,15916.0679863551522,42569.7469715321276
55643.0625000000000,-18402.5577542834289,14774.5842058423113,42919.5958009413007
56250.2202355025074,-18948.8502953483185,13743.9703476812774,43172.2662267367195
56752.3948826817650,-19382.9430306315699,12878.6127286972242,43340.7730512560156
57127.6389997547303,-19696.6454103817414,12224.8420532906766,43442.7956092631066
57359.5526181842724,-19885.9022181534565,11817.8954678117589,43495.6372274794048
57438.0000000000000,-19949.1148556077897,11679.7578126741319,43511.7462057360171
57438.0000000000000,-19949.1148556077897,11679.7578126741319,43511.7462057360171
57516.4473818157276,-20011.9183855302144,11541.3806340437004,43526.9628643810065
57748.3610002452697,-20195.1807609873031,11130.9243849161376,43566.7297657618910
58123.6051173182350,-20484.0362689752365,10462.6050862021002,43614.5569693742509
58625.7797644974926,-20855.5726037308923,9560.6108945514352,43646.6119419318493
59232.9375000000000,-21281.3992664971956,8459.4136969703686,43636.4927809655492
59918.5426173182350,-21730.8022786729889,7203.5204944953730,43560.6521448251224
60652.6308829270347,-22174.0828289992533,5846.3117315371292,43403.5127233145540
61403.1191170729653,-22585.6282992772758,4447.8287888841724,43161.3773554804211
62137.2073826817650,-22946.2722379133411,3071.6383925697664,42844.4359208250098
62822.8125000000000,-23244.5760396184305,1781.1353205278929,42476.4687219248517
63429.9702355025074,-23476.8133343723202,635.7809689053558,42092.2037528299697
