Time (s), X (km), Y (km), Z (km)
0.0000000000000,-19946.9883672334872,11684.4232639570982,43511.2171346737596
78.4470500707404,-20009.8054563494661,11546.0547060130812,43526.4638419737166
310.3596877641604,-20193.1081612017042,11135.6233768504335,43566.3196166387279
685.6022179727532,-20482.0297059242039,10467.3426161777807,43614.2907685095488
1187.7747415129695,-20853.6559575746505,9565.3965641007289,43646.5387303108728
1794.9299094149819,-21279.5937589671084,8464.2523354353816,43636.6535655228072
2480.5321273877357,-21729.1255765669630,7208.4120531106782,43561.0782343195533
3214.6172886213717,-22172.5481052040195,5851.2517972613896,43404.2244197165128
3965.1023490385573,-22584.2432973239484,4452.8096105167424,43162.3830077788953
4699.1875102721942,-22945.0384129131162,3076.6502576973194,42845.7313582457864
5384.7897282449467,-23243.4878783601926,1786.1680834603389,42478.0371099710101
5991.9448961469589,-23475.8579843113730,640.8255016241858,42094.0159438026967
6494.1174196871762,-23644.8090073084677,-307.1744555355681,41734.6802147078924
6869.3599498957692,-23757.0236122436581,-1015.4202477005215,41441.3711206580629
7101.2725875891892,-23820.2763867935391,-1452.9022751151890,41249.4401449456200
7179.7196376599295,-23840.6068256665239,-1600.8247542838026,41182.6692151606258
7179.7196376599295,-23840.6068256665239,-1600.8247542838026,41182.6692151606258
7258.1666877306698,-23860.3954557302532,-1748.7108511180561,41114.9623566839291
7490.0793254240898,-23915.7092220604354,-2185.6594298754494,40909.3176593152530
7865.3218556326829,-23995.0131980688930,-2891.6869327387813,40559.1640534585240
8367.4943791728983,-24081.0808345195728,-3834.0508594980788,40056.7032798772780
8974.6495470749105,-24153.7397620865122,-4968.3332422731091,39397.0279588211124
9660.2517650476657,-24193.2284264531772,-6240.3202683872614,38582.7698359420319
10394.3369262813012,-24183.7139788643581,-7588.8163673760482,37628.3844501950807
11144.8219866984873,-24116.4501152376433,-8949.3371169273778,36563.1860594571117
11878.9071479321246,-23992.0306245964384,-10258.3710569403265,35432.3827467027149
12564.5093659048762,-23821.2411839743072,-11457.6535375925941,34295.6163101458442
13171.6645338068884,-23624.1550444746244,-12497.7414214698038,33222.8727047094580
13673.8370573471057,-23427.3801820529225,-13340.2086661123576,32288.0717946424847
14049.0795875556978,-23259.7412412754857,-13958.0677244901635,31561.1137263113960
14280.9922252491197,-23147.1070067078981,-14334.5426274766287,31099.5553312690390
14359.4392753198590,-23107.4221574853254,-14460.9145732107172,30941.2937626943021
14359.4392753198590,-23107.4221574853254,-14460.9145732107172,30941.2937626943021
14437.8863253906002,-23066.9289497002610,-14586.7806317722680,30781.9497904130149
14669.7989630840202,-22942.4495967289076,-14955.8411865969283,30304.5316082193931
