Time (s), Error (km)
0,5.65e-05
9.23522,4.76e-05
36.8461,5.14e-05
82.5493,4.7e-05
145.876,4.91e-05
226.176,4.75e-05
322.626,4.73e-05
434.235,4.94e-05
559.86,4.75e-05
698.209,4.79e-05
847.865,4.85e-05
1007.29,4.83e-05
1174.85,4.87e-05
1348.83,5.02e-05
1527.43,4.72e-05
1708.83,4.77e-05
1891.17,4.77e-05
2072.57,4.8e-05
2251.17,4.91e-05
2425.15,4.91e-05
2592.71,4.98e-05
2752.14,4.85e-05
2901.79,4.87e-05
3040.14,4.78e-05
3165.76,5.12e-05
3277.37,4.85e-05
3373.82,4.82e-05
3454.12,4.89e-05
3517.45,4.84e-05
3563.15,4.96e-05
3590.76,4.79e-05
3600,4.89e-05
