Time (s), Error (km)
0,1.42e-05
9.23522,2.76e-05
36.8461,1.77e-05
82.5493,1.71e-05
145.876,1.55e-05
226.176,1.56e-05
322.626,1.55e-05
434.235,1.51e-05
559.86,1.56e-05
698.209,1.56e-05
847.865,1.55e-05
1007.29,1.52e-05
1174.85,1.52e-05
1348.83,1.56e-05
1527.43,1.51e-05
1708.83,1.57e-05
1891.17,1.55e-05
2072.57,1.56e-05
2251.17,1.53e-05
2425.15,1.55e-05
2592.71,1.58e-05
2752.14,1.52e-05
2901.79,1.58e-05
3040.14,1.62e-05
3165.76,1.57e-05
3277.37,1.65e-05
3373.82,1.55e-05
3454.12,1.6e-05
3517.45,1.58e-05
3563.15,1.56e-05
3590.76,1.55e-05
3600,1.55e-05
