Time (s), X (km), Y (km), Z (km)
0.0000000000000,-19946.9883672334872,11684.4232639570982,43511.2171346737596
78.4473818157293,-20009.8057211303676,11546.0541203632984,43526.4639045638905
310.3610002452682,-20193.1091883841291,11135.6210483500690,43566.3198201336709
685.6051173182356,-20482.0319014501692,10467.3374332586754,43614.2910602998381
1187.7797644974937,-20853.6595879620545,9565.3875007645674,43646.5388699222094
1794.9374999999995,-21279.5989221167292,8464.2385005312390,43636.6531070834681
2480.5426173182354,-21729.1321956392276,7208.3927449083931,43561.0765536383551
3214.6308829270329,-22172.5559473266585,5851.2265552875569,43404.2207835108202
3965.1191170729671,-22584.2520154670310,4452.7782549919821,43162.3766753844684
4699.2073826817641,-22945.0476054236642,3076.6129082300995,42845.7217002353718
5384.8124999999991,-23243.4971569924746,1786.1251526123469,42478.0237243751180
5991.9702355025047,-23475.8670390016923,640.7776644257242,42093.9987498343180
6494.1448826817641,-23644.8176552919394,-307.2263097788187,41734.6595063962086
6869.3889997547321,-23757.0318209733268,-1015.4750716855353,41441.3475683833385
7101.3026181842706,-23820.2842646448589,-1452.9589182577472,41249.4147409071156
7179.7500000000000,-23840.6145811516835,-1600.8820096834531,41182.6431683659248
7179.7500000000000,-23840.6145811516835,-1600.8820096834531,41182.6431683659248
7258.1973818157294,-23860.4030835197300,-1748.7687171275227,41114.9356588230439
7490.1110002452679,-23915.7164408748868,-2185.7190908967541,40909.2889879241629
7865.3551173182359,-23995.0196537939737,-2891.7494632340422,40559.1320332888936
8367.5297644974944,-24081.0860673453317,-3834.1171532806407,40056.6664737569299
8974.6875000000000,-24153.7431957962217,-4968.4039484507330,39396.9848931856977
9660.2926173182350,-24193.2293858976409,-6240.3957411570454,38582.7190667410541
10394.3808829270329,-24183.7117386083410,-7588.8966391752401,37628.3246678633659
11144.8691170729671,-24116.4439780169851,-8949.4219045863629,36563.1162238298566
11878.9573826817650,-23992.0200225492990,-10258.4598071236451,35432.3022350202300
12564.5625000000000,-23821.2257892422640,-11457.7455104205001,34295.5250551371064
13171.7202355025038,-23624.1348701371098,-12497.8358007603420,33222.7712970182401
13673.8948826817650,-23427.3556513318108,-13340.3046739400615,32287.9615259596649
14049.1389997547321,-23259.7132042675075,-13958.1647109216519,31560.9965566729297
14281.0526181842706,-23147.0766908487640,-14334.6401081213990,31099.4337750664054
14359.5000000000000,-23107.3910509227098,-14461.0122009027909,30941.1707014514177
14359.5000000000000,-23107.3910509227098,-14461.0122009027909,30941.1707014514177
14437.9473818157294,-23066.8970422434577,-14586.8783960376441,30781.8252133321876
14669.8610002452679,-22942.4152610764540,-14955.9392915399239,30304.4024863619961
15045.1051173182350,-22725.6607823955819,-15543.0291930027724,29511.7000176149049
15547.2797644974944,-22405.1369356946198,-16307.7633961980864,28411.3979584664703
16154.4375000000000,-21969.3594382591582,-17197.0814985150319,27020.0108774270266
16840.0426173182350,-21410.8840149653734,-18149.1240847774025,25367.3379948796537
17574.1308829270347,-20730.6482517509394,-19098.5467412299804,23500.4716355704259
18324.6191170729653,-19941.9906109194890,-19983.1263589232221,21486.3345045804344
19058.7073826817650,-19073.5653103404511,-20751.0925407298710,19411.7540075092729
19744.3125000000000,-18170.2739165136554,-21368.0428087502332,17380.3073760941516
20351.4702355025038,-17291.3810317266434,-21821.7046157971417,15505.6680494367611
20853.6448826817650,-16505.3155549905314,-22122.5156697478742,13901.9791405951473
21228.8889997547303,-15881.3807641976928,-22298.5113716304659,12672.7006723760642
21460.8026181842724,-15479.6026254499538,-22384.7126837377618,11899.9772723710685
21539.2500000000000,-15340.8436483164824,-22409.7720743886566,11636.3832216028150
21539.2500000000000,-15340.8436483164824,-22409.7720743886566,11636.3832216028150
21617.6973818157276,-15200.6256419354104,-22432.7000696840951,11371.6825038813877
21849.6110002452697,-14777.4688648322044,-22487.6574867131822,10582.7527618557779
22224.8551173182350,-14064.9148421010887,-22533.8736157020758,9286.4807653428416
22727.0297644974926,-13055.7082432305888,-22505.9821960855697,7515.4389815738250
23334.1875000000000,-11747.0841686359308,-22318.7111385483840,5324.0053419162687
24019.7926173182350,-10148.1543984827495,-21875.1909483125601,2795.6909705993048
24753.8808829270347,-8289.0938000266378,-21080.7905843586086,49.8187712313834
25504.3691170729653,-6230.9619036266413,-19864.6454399844224,-2756.0188759288376
26238.4573826817650,-4072.9836687919119,-18209.5113813962198,-5433.7985343999917
26924.0625000000000,-1951.0607928972317,-16184.6345455672017,-7790.5586444029559
27531.2202355025038,-20.2289090886261,-13965.1822551731457,-9673.0310161825983
28033.3948826817650,1578.6328540946015,-11815.0704771649453,-11014.7626215308428
28408.6389997547303,2751.0715092624314,-10027.0116720464030,-11851.6849999909700
28640.5526181842724,3457.1745159394081,-8849.4017561633118,-12285.6799594503136
28719.0000000000000,3691.7818122042031,-8439.3770179418352,-12416.8378364465461
28719.0000000000000,3691.7818122042031,-8439.3770179418352,-12416.8378364465461
28797.4473818157276,3923.9385787961892,-8023.7517652318993,-12539.7546231193974
29029.3610002452697,4594.1246268102932,-6764.3688335531660,-12853.1788374336684
29404.6051173182350,5617.5104871648700,-4643.0065477337739,-13193.9464604425557
29906.7797644974926,6840.5264132297061,-1691.7868078965857,-13311.9414297662461
30513.9375000000000,8050.1350605592288,1934.7473047840213,-12936.6563184560873
31199.5426173182350,9027.0620869044760,5932.1868227574032,-11890.7088927003697
31933.6308829270347,9625.4622977606632,9919.0691200925212,-10180.5569988517836
32684.1191170729653,9816.7483203567681,13566.0453950689371,-7984.4547413383880
33418.2073826817650,9668.9477513430356,16675.8565199901059,-5560.2289478069724
34103.8125000000000,9296.4234106831536,19180.6444881779717,-3157.9470599218675
34710.9702355025074,8819.0997132836419,21098.2634882679849,-977.9542308612927
35213.1448826817650,8341.2370231233272,22487.9391545422695,835.9563553275300
35588.3889997547303,7943.7992439257077,23418.8637888614066,2188.2508032315768
35820.3026181842724,7683.2993841471180,23950.9112061070009,3020.2951007890824
35898.7500000000000,7592.8403908714381,24123.6732661501956,3300.8865191350715
35898.7500000000000,7592.8403908714381,24123.6732661501956,3300.8865191350715
35977.1973818157276,7501.2587021229228,24292.8685703375231,3580.9900190154553
36209.1110002452697,7224.2891516781783,24772.6447959123689,4405.9130337387796
36584.3551173182350,6758.1960580073319,25486.7194821305129,5729.2496939453440
37086.5297644974926,6104.6982760003011,26329.1546051853329,7474.3000056508772
37693.6875000000000,5277.8438696454859,27188.2155356746334,9538.4608009044350
38379.2926173182350,4307.3112660748620,27967.7752191860600,11802.2498468255999
39113.3808829270347,3237.1434558057299,28601.1495130918884,14141.1701473771354
39863.8691170729653,2121.1494013339448,29056.0127928410075,16437.2857440483531
40597.9573826817650,1017.0264546373669,29331.9698381011331,18587.9610486769452
41283.5625000000000,-19.0976762092300,29453.5352821276974,20510.6630858339777
